feature,tfidf,day
#instagram,0.090119747,7
#hollandv,0.090119747,7
#weekend,0.090119747,7
#wafflesicecream,0.080766707,7
#almond,0.080766707,7
#folks,0.080766707,7
#gf_singapore,0.080766707,7
#instalove,0.080766707,7
#sundayfunday,0.080766707,7
#saturday,0.080766707,7
#foodvsco,0.080766707,7
#igers,0.072095798,7
#sgfoodunion,0.072095798,7
#matcha,0.072095798,7
#_,0.072095798,7
#popcorn,0.070122287,7
#asia,0.070122287,7
#travel,0.070122287,7
#sogood,0.062993167,7
#sugarrush,0.062993167,7
#sundae,0.062993167,7
#foodheaven,0.062993167,7
#vscocamsunday,0.062993167,7
#weekendeats,0.062993167,7
#coffeeshop,0.062993167,7
#trip,0.062993167,7
#icecream__,0.062993167,7
#gf_daily,0.062993167,7
#foodshot,0.062993167,7
